transaction_date,owner,ticker,asset_type,amount,senator
03/09/2020,Spouse,EMR,Stock,"$1,001 - $15,000",William Cassidy
03/09/2020,Spouse,BLK,Stock,"$1,001 - $15,000",William Cassidy
03/09/2020,Spouse,AAPL,Stock,"$1,001 - $15,000",William Cassidy
03/09/2020,Spouse,AMGN,Stock,"$1,001 - $15,000",William Cassidy
03/09/2020,Spouse,T,Stock,"$1,001 - $15,000",William Cassidy
03/09/2020,Spouse,VFC,Stock,"$1,001 - $15,000",William Cassidy
03/09/2020,Spouse,PSX,Stock,"$1,001 - $15,000",William Cassidy
03/09/2020,Spouse,MMM,Stock,"$1,001 - $15,000",William Cassidy
03/09/2020,Spouse,JNJ,Stock,"$1,001 - $15,000",William Cassidy
03/09/2020,Spouse,DOW,Stock,"$1,001 - $15,000",William Cassidy
03/02/2020,Self,--,Other Securities,"$5,000,001 - $25,000,000",Ron Johnson
03/10/2020,Self,VWO,Stock,"$15,001 - $50,000","Jerry Moran,  "
03/10/2020,Joint,HAL,Stock,"$1,001 - $15,000","Jerry Moran,  "
03/10/2020,Self,XOM,Stock,"$1,001 - $15,000","Jerry Moran,  "
03/10/2020,Self,BRK-B,Stock,"$1,001 - $15,000","Jerry Moran,  "
02/20/2020,Self,BAM,Stock,"$50,001 - $100,000",James M Inhofe
02/29/2020,Joint,IR,Stock,"$1,001 - $15,000",Jacklyn S Rosen
01/14/2020,Spouse,CMCSA,Stock Option,"$1,001 - $15,000",Kelly Loeffler
01/14/2020,Spouse,CSCO,Stock Option,"$1,001 - $15,000",Kelly Loeffler
01/14/2020,Spouse,GS,Stock Option,"$1,001 - $15,000",Kelly Loeffler
01/14/2020,Spouse,CVX,Stock Option,"$1,001 - $15,000",Kelly Loeffler
01/14/2020,Spouse,UL,Stock Option,"$1,001 - $15,000",Kelly Loeffler
01/08/2020,Spouse,PRU,Stock Option,"$1,001 - $15,000",Kelly Loeffler
01/29/2020,Spouse,--,Other Securities,"$100,001 - $250,000",Kelly Loeffler
01/29/2020,Self,--,Other Securities,"$15,001 - $50,000",Kelly Loeffler
01/31/2020,Joint,TJX,Stock,"$15,001 - $50,000",Kelly Loeffler
01/31/2020,Joint,ROST,Stock,"$15,001 - $50,000",Kelly Loeffler
