senator,ticker,owner,type,transaction_date
Kelly Loeffler,ABBV,Spouse,Sale (Full),2/20/2020
Kelly Loeffler,DOCU,Joint,Sale (Partial),2/20/2020
Kelly Loeffler,PRU,Spouse,Purchase,3/13/2020
Kelly Loeffler,CVX,Spouse,Purchase,3/10/2020
Kelly Loeffler,DD,Spouse,Purchase,3/10/2020
Kelly Loeffler,AIZ,Spouse,Sale (Full),3/9/2020
Kelly Loeffler,EMR,Spouse,Sale (Full),3/9/2020
Kelly Loeffler,CR,Spouse,Sale (Full),3/9/2020
Kelly Loeffler,HIG,Spouse,Sale (Full),3/9/2020
Kelly Loeffler,AMGN,Spouse,Sale (Full),3/4/2020
Kelly Loeffler,AIG,Spouse,Sale (Full),3/4/2020
Kelly Loeffler,PANW,Spouse,Sale (Full),3/4/2020
Kelly Loeffler,CVX,Spouse,Sale (Full),3/4/2020
Kelly Loeffler,BP,Spouse,Sale (Full),3/4/2020
Kelly Loeffler,DD,Spouse,Purchase,3/3/2020
Kelly Loeffler,DD,Spouse,Purchase,3/2/2020
Kelly Loeffler,DD,Spouse,Purchase,2/28/2020
Kelly Loeffler,BKNG,Joint,Sale (Full),3/11/2020
Kelly Loeffler,BKNG,Joint,Sale (Partial),3/10/2020
Kelly Loeffler,HELE,Joint,Sale (Partial),3/9/2020
Kelly Loeffler,BKNG,Joint,Purchase,3/6/2020
Kelly Loeffler,TJX,Joint,Sale (Full),3/9/2020
Kelly Loeffler,ROST,Joint,Sale (Full),3/3/2020
Kelly Loeffler,LULU,Joint,Sale (Full),3/3/2020
Kelly Loeffler,FB,Joint,Sale (Full),3/3/2020
Kelly Loeffler,ROST,Joint,Sale (Partial),3/2/2020
Kelly Loeffler,CME,Joint,Purchase,2/26/2020
Kelly Loeffler,NVDA,Joint,Sale (Full),2/26/2020
Kelly Loeffler,AZO,Joint,Sale (Full),2/26/2020
Kelly Loeffler,ADP,Joint,Sale (Partial),2/26/2020
Kelly Loeffler,ARNA,Joint,Sale (Partial),2/26/2020
Kelly Loeffler,AMZN,Joint,Sale (Full),2/27/2020
Kelly Loeffler,CME,Joint,Purchase,2/24/2020
Kelly Loeffler,AMZN,Joint,Purchase,2/24/2020
Kelly Loeffler,NVDA,Joint,Sale (Partial),2/24/2020
