transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link
02/09/2016,Joint,LYV,"Live Nation Entertainment, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/09/2016,Joint,HYH,"Halyard Health, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/09/2016,Joint,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/08/2016,Joint,WMB,"Williams Companies, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/08/2016,Joint,WMB,"Williams Companies, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/08/2016,Joint,ETE,"Energy Transfer Equity, L.P.",Stock,Sale (Full),"$1,001 - $15,000","This comment was incorrectly labeled as ""partial"" when it should have been labeled ""full""","David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/05/2016,Joint,ORCL,Oracle Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/05/2016,Joint,FOXA,"Twenty-First Century Fox, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/05/2016,Joint,HYH,"Halyard Health, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/05/2016,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/04/2016,Joint,PKI,PerkinElmer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/04/2016,Joint,HYH,"Halyard Health, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/03/2016,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/03/2016,Joint,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/03/2016,Joint,HYH,"Halyard Health, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/02/2016,Joint,ADT,The ADT Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/02/2016,Joint,ADT,The ADT Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/02/2016,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/01/2016,Joint,EPD,Enterprise Products Partners L.P.,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/01/2016,Joint,PKI,PerkinElmer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/01/2016,Joint,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
02/01/2016,Joint,PFE,Pfizer Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/d5741310-e8a2-4be6-b3ae-9843568526a8/
09/12/2017,Self,--,"W.L. Gore &amp; Associates Inc. <div class=""text-muted""> <em>Company:</em> W.L. Gore &amp; Associates Inc. &nbsp;(Newark, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Advanced materials manufacturing</div>",Non-Public Stock,Sale (Partial),"$250,001 - $500,000",--,Christopher A Coons,https://efdsearch.senate.gov/search/view/ptr/75638602-b725-4bc9-9ab7-0c9f7699f896/
02/01/2017,Self,--,"Israel Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4%<br> <em>Matures:</em> 02/01/27</div>",Municipal Security,Purchase,"$15,001 - $50,000",IRA,Benjamin L Cardin,https://efdsearch.senate.gov/search/view/ptr/54b55295-905a-409e-bd8e-d3e3d13969d9/
02/01/2017,Spouse,--,"Israel Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4%<br> <em>Matures:</em> 02/01/27</div>",Municipal Security,Purchase,"$15,001 - $50,000",IRA,Benjamin L Cardin,https://efdsearch.senate.gov/search/view/ptr/54b55295-905a-409e-bd8e-d3e3d13969d9/
12/06/2017,Self,GE,General Electric Company,Stock,Purchase,"$15,001 - $50,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/f8df0be3-2838-4f6f-86a4-de6027825cc0/
11/30/2017,Self,REVB,Revere Bank,Stock,Sale (Partial),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/f8df0be3-2838-4f6f-86a4-de6027825cc0/
11/17/2017,Self,REVB,Revere Bank,Stock,Sale (Partial),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/f8df0be3-2838-4f6f-86a4-de6027825cc0/
11/15/2017,Self,REVB,Revere Bank,Stock,Sale (Partial),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/f8df0be3-2838-4f6f-86a4-de6027825cc0/
08/03/2017,Self,PHLD,PHILLIPS EDISON GR,Stock,Purchase,"$50,001 - $100,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/f8df0be3-2838-4f6f-86a4-de6027825cc0/
01/08/2018,Self,PFS,"Provident Financial Services, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/06bc054e-4044-4322-80ad-ae881b8c8843/
01/08/2018,Self,REVB,Revere Bank,Stock,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/06bc054e-4044-4322-80ad-ae881b8c8843/
01/05/2018,Self,PFS,"Provident Financial Services, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/06bc054e-4044-4322-80ad-ae881b8c8843/
12/07/2017,Self,REVB,Revere Bank,Stock,Sale (Partial),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/06bc054e-4044-4322-80ad-ae881b8c8843/
12/07/2017,Self,GE,General Electric Company,Stock,Purchase,"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/06bc054e-4044-4322-80ad-ae881b8c8843/
05/18/2017,Self,GE,General Electric Company,Stock,Sale (Partial),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/13cd6696-9614-4773-94dd-5f14da177d93/
04/16/2018,Spouse,--,"International Lease Finance <div class=""text-muted""><em>Rate/Coupon:</em> 3.875%<br> <em>Matures:</em> 04/15/2018</div>",Corporate Bond,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/cea4055c-8230-4f46-8076-802a1750c886/
04/13/2018,Spouse,--,"Dominion Energy <div class=""text-muted""><em>Rate/Coupon:</em> 2.579%<br> <em>Matures:</em> 07/01/2020</div>",Corporate Bond,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/cea4055c-8230-4f46-8076-802a1750c886/
04/27/2018,Joint,USG,USG Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/26/2018,Joint,USG,USG Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/26/2018,Joint,WPX,"WPX Energy, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/25/2018,Joint,GLW,Corning Incorporated,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/24/2018,Joint,C,Citigroup Inc.,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/24/2018,Joint,GIS,"General Mills, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/24/2018,Joint,MRK,"Merck &amp; Co., Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/20/2018,Joint,CLX,The Clorox Company,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/20/2018,Joint,PG,The Procter &amp; Gamble Company,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/20/2018,Joint,PEP,"PepsiCo, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/17/2018,Joint,DUK,Duke Energy Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/13/2018,Joint,USG,USG Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/12/2018,Joint,USG,USG Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/09/2018,Joint,USG,USG Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/07163d2f-2ddf-4e81-a2b4-210fb8a469d2/
04/20/2018,Self,--,"GENL MOTORS FINL CO INC 03.500% 110724 DTD110717 <div class=""text-muted""><em>Rate/Coupon:</em> 3.5%<br> <em>Matures:</em> 11/07/24</div>",Corporate Bond,Purchase,"$1,001 - $15,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/ba587b09-a5f3-48cf-b464-9bdeb6692241/
04/12/2018,Spouse,CGNT,"Cogentix Medical, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Tina Smith,https://efdsearch.senate.gov/search/view/ptr/e4eae413-9ad7-4ccf-a37c-a277a55707cc/
04/12/2018,Spouse,CGNT,"Cogentix Medical, Inc.",Stock,Sale (Full),"$100,001 - $250,000",--,Tina Smith,https://efdsearch.senate.gov/search/view/ptr/e4eae413-9ad7-4ccf-a37c-a277a55707cc/
04/10/2018,Spouse,CGNT,"Cogentix Medical, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Tina Smith,https://efdsearch.senate.gov/search/view/ptr/e4eae413-9ad7-4ccf-a37c-a277a55707cc/
03/19/2018,Spouse,FB,"Facebook, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/3e0e6c8e-e659-4081-97cf-05e6f350a459/
03/19/2018,Joint,FB,"Facebook, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/3e0e6c8e-e659-4081-97cf-05e6f350a459/
03/19/2018,Self,FB,"Facebook, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/3e0e6c8e-e659-4081-97cf-05e6f350a459/
03/12/2018,Spouse,--,"MAINE ST HSG AUTH BOND <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 11/15/2028</div>",Municipal Security,Sale (Full),"$15,001 - $50,000","REDEMPTION ""CALLED""","Angus S King, Jr.",https://efdsearch.senate.gov/search/view/ptr/5c15668a-97a0-4959-896a-3d4b5baf7954/
04/09/2018,Joint,--,"Bird Dog Hospitality V, LLC <div class=""text-muted""> <em>Company:</em> Bird Dog Hospitality V, LLC &nbsp;(Sioux Falls, SD) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Hospitality Property</div>",Non-Public Stock,Purchase,"$50,001 - $100,000","This is an underlying asset to Bird Dog Hospitality, LLC (Purchased 9/2/16)",Mike Rounds,https://efdsearch.senate.gov/search/view/ptr/6fdcc5cc-bcbd-4cd5-8feb-0e94c0f906df/
03/21/2018,Self,--,"MARYLAND ST FOR ISSUES DATED PRIOR TO 08/05/11 SEE 574192 GO ST LOCAL FACS LN BDS 2018 A <div class=""text-muted""><em>Rate/Coupon:</em> 3.125%<br> <em>Matures:</em> 03/15/2033</div>",Municipal Security,Purchase,"$1,001 - $15,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/8e46586d-e3a0-494b-baa5-4931183a6adc/
03/07/2018,Self,--,"BetterCloud <div class=""text-muted""> <em>Company:</em> BetterCloud &nbsp;(New York, NY) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Cloud Storage Company</div>",Other Securities,Purchase,"$100,001 - $250,000","Underlying asset of New Amsterdam BC Investors, LLC",Mark R Warner,https://efdsearch.senate.gov/search/view/ptr/9fa88d3e-3deb-4aca-940b-b34d6ffba01d/
03/09/2018,Self,--,"FIRST NIAGARA FINANCIAL GROUP INC <div class=""text-muted""><em>Rate/Coupon:</em> 6.75%<br> <em>Matures:</em> 03/19/2020</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/ccac59b4-ae2d-47b6-ae63-69a4f1f5f968/
03/22/2018,Self,REVB,Revere Bank,Stock,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/ccac59b4-ae2d-47b6-ae63-69a4f1f5f968/
03/29/2018,Spouse,CGNT,"Cogentix Medical, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,Tina Smith,https://efdsearch.senate.gov/search/view/ptr/5aa4f067-861b-466a-95e5-6d31e3d79ea1/
03/28/2018,Spouse,FANUY,Fanuc Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/0ab7eda5-7112-4fda-919b-b44b37efd191/
03/28/2018,Spouse,WFC,Wells Fargo &amp; Company,Stock,Sale (Partial),"$15,001 - $50,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/0ab7eda5-7112-4fda-919b-b44b37efd191/
04/02/2018,Joint,URBN,"Urban Outfitters, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
04/02/2018,Joint,URBN,"Urban Outfitters, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
04/02/2018,Joint,CZR,Caesars Entertainment Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
03/29/2018,Joint,--,"DALTON GA GO <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 02/01/24</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
03/29/2018,Joint,URBN,"Urban Outfitters, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
03/27/2018,Joint,DVN,Devon Energy Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
03/20/2018,Joint,URBN,"Urban Outfitters, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
03/20/2018,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
03/15/2018,Joint,EQM,"EQT Midstream Partners, LP",Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
03/13/2018,Joint,WMB,"The Williams Companies, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
03/06/2018,Joint,URBN,"Urban Outfitters, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d02e725-df28-4d70-9635-f99acf687da8/
03/27/2018,Self,DWDP,DowDuPont Inc.,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/666e996b-581b-45e6-b0e9-ac1f5db2bcf1/
03/27/2018,Self,UPS,"United Parcel Service, Inc.",Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/666e996b-581b-45e6-b0e9-ac1f5db2bcf1/
03/05/2018,Self,DWDP,DowDuPont Inc.,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/e24c90de-42d0-4069-a9bd-95d9e8fc1aac/
03/05/2018,Self,WMT,Walmart Inc.,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/e24c90de-42d0-4069-a9bd-95d9e8fc1aac/
03/05/2018,Self,CAT,Caterpillar Inc.,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/e24c90de-42d0-4069-a9bd-95d9e8fc1aac/
09/29/2017,Spouse,--,Western Asset/Claymore Inflation,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/29/2017,Spouse,--,SPDR Gold Tr Gold Shs,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/29/2017,Spouse,--,Ishares Ibonds Dec 20 Trm Corp,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/29/2017,Spouse,--,Ishares Ibonds Dec 18 Trm Corp,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/29/2017,Spouse,--,Pacer Trendpilot 750 ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/29/2017,Spouse,--,Pacer Trendpilot 450 ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/29/2017,Spouse,--,"FS Investment Corp <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 07/15/2019</div>",Corporate Bond,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/29/2017,Spouse,--,Central Fund of Canada,Other Securities,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/29/2017,Spouse,--,Compass Minerals,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/29/2017,Spouse,--,Acadian Timber,Stock,Sale (Full),"$1,001 - $15,000","Due to clerical error, transaction amount incorrectly reported when PTR filed.",Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/20/2017,Spouse,--,"Government Properties Inc <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 07/15/2022</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/20/2017,Spouse,--,"Compass Bank <div class=""text-muted""><em>Rate/Coupon:</em> 3.875%<br> <em>Matures:</em> 04/10/2025</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/18/2017,Spouse,--,Hexcel Corp New,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/18/2017,Spouse,--,Mantech Intl Corp Cl A,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/18/2017,Spouse,--,Orbital ATK,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/07/2017,Spouse,--,SPDR Gold Tr Gold Shs,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/07/2017,Spouse,--,Central Fund of Canada,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
09/05/2017,Spouse,--,"HSBC Contingent Autocall on Anadarko Petroleum <div class=""text-muted""><em>Rate/Coupon:</em> 9.0%<br> <em>Matures:</em> 09/05/2017</div>",Corporate Bond,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/07935a4d-85ec-406f-8c1c-bd951dfd2903/
03/09/2018,Joint,XLNX,"Xilinx, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,VRTX,Vertex Pharmaceuticals Incorporated,Stock,Sale (Partial),"$1,001 - $15,000",Less than $1000,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,VWO,Vanguard FTSE Emerging Markets ETF,Stock,Sale (Partial),"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,TMO,Thermo Fisher Scientific Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,SYK,Stryker Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,XBI,SPDR S&amp;P Biotech ETF,Stock,Sale (Partial),"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,XSD,SPDR S&amp;P Semiconductor ETF,Stock,Sale (Partial),"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,RYT,Guggenheim S&amp;P 500 Eq Wt Technology ETF,Stock,Sale (Partial),"$1,001 - $15,000",Less than $1000,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,QCOM,QUALCOMM Incorporated,Stock,Sale (Partial),"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,ISRG,"Intuitive Surgical, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",Less than $1000,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,INTC,Intel Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
03/09/2018,Joint,ITW,Illinois Tool Works Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/63409db6-5b28-43aa-aa0f-d6594a8f15b4/
